experiment_id,cohort,method_id,seed,diagnostic_stratum,comparator,semantic_valid,observed_action_rmse,comparator_rmse,comparator_minus_observed_delta_rmse,episode_cluster_mean_delta,episode_cluster_ci95_low,episode_cluster_ci95_high,episodes,observed_cells,causal_effect_claimed,shuffle_contract,claim_boundary,lineage,status,reason,component_label,candidate_reward
KDD098R,respiratory,grud_world_model,3408,reward_relevant_features,lowest_setting_reference_class_not_no_action,False,0.8227973520207146,0.8263216229446464,0.0035242709239318,0.0052466834630167,0.004200701092485,0.0062351092051819,3702,41912,False,within_train_frozen_severity_propensity_time_strata,"Development-only factual logged-action planning-component validation. Action-information deltas are predictive diagnostics, not causal treatment effects. No confirmatory, policy-winner, treatment-benefit, causal, counterfactual, clinical-utility, deployment, or autonomous-decision claim.",KDD097/KDD098R unchanged,,,,
KDD098R,respiratory,grud_world_model,3408,reward_relevant_features,matched_shuffle,True,0.8227973520207146,0.8238323056218857,0.0010349536011711,0.0015201452363427,0.0007560351221895,0.0022033715764999,3702,41912,False,within_train_frozen_severity_propensity_time_strata,"Development-only factual logged-action planning-component validation. Action-information deltas are predictive diagnostics, not causal treatment effects. No confirmatory, policy-winner, treatment-benefit, causal, counterfactual, clinical-utility, deployment, or autonomous-decision claim.",KDD097/KDD098R unchanged,,,,
KDD098R,respiratory,grud_world_model,3408,reward_relevant_features,previous_action,True,0.8227973520207146,0.8233662864902229,0.0005689344695083,0.0009007987356475,0.0005235553554234,0.0012546660218583,3702,41912,False,within_train_frozen_severity_propensity_time_strata,"Development-only factual logged-action planning-component validation. Action-information deltas are predictive diagnostics, not causal treatment effects. No confirmatory, policy-winner, treatment-benefit, causal, counterfactual, clinical-utility, deployment, or autonomous-decision claim.",KDD097/KDD098R unchanged,,,,
KDD098R,respiratory,grud_world_model,3411,reward_relevant_features,lowest_setting_reference_class_not_no_action,False,0.8213085781818608,0.8288661784654341,0.0075576002835733,0.0102816944169401,0.0085407935530422,0.0119211105552004,3702,41912,False,within_train_frozen_severity_propensity_time_strata,"Development-only factual logged-action planning-component validation. Action-information deltas are predictive diagnostics, not causal treatment effects. No confirmatory, policy-winner, treatment-benefit, causal, counterfactual, clinical-utility, deployment, or autonomous-decision claim.",KDD097/KDD098R unchanged,,,,
KDD098R,respiratory,grud_world_model,3411,reward_relevant_features,matched_shuffle,True,0.8213085781818608,0.8227760895247888,0.0014675113429279,0.001521417301528,0.0008677612145927,0.0022235179955442,3702,41912,False,within_train_frozen_severity_propensity_time_strata,"Development-only factual logged-action planning-component validation. Action-information deltas are predictive diagnostics, not causal treatment effects. No confirmatory, policy-winner, treatment-benefit, causal, counterfactual, clinical-utility, deployment, or autonomous-decision claim.",KDD097/KDD098R unchanged,,,,
KDD098R,respiratory,grud_world_model,3411,reward_relevant_features,previous_action,True,0.8213085781818608,0.821922143324064,0.0006135651422032,0.0008190917518352,0.0003326243559213,0.0013098674066322,3702,41912,False,within_train_frozen_severity_propensity_time_strata,"Development-only factual logged-action planning-component validation. Action-information deltas are predictive diagnostics, not causal treatment effects. No confirmatory, policy-winner, treatment-benefit, causal, counterfactual, clinical-utility, deployment, or autonomous-decision claim.",KDD097/KDD098R unchanged,,,,
KDD098R,respiratory,grud_world_model,3414,reward_relevant_features,lowest_setting_reference_class_not_no_action,False,0.8202478512729352,0.823601717370823,0.0033538660978877,0.0029653145814538,0.0017123408872337,0.0042013714764715,3702,41912,False,within_train_frozen_severity_propensity_time_strata,"Development-only factual logged-action planning-component validation. Action-information deltas are predictive diagnostics, not causal treatment effects. No confirmatory, policy-winner, treatment-benefit, causal, counterfactual, clinical-utility, deployment, or autonomous-decision claim.",KDD097/KDD098R unchanged,,,,
KDD098R,respiratory,grud_world_model,3414,reward_relevant_features,matched_shuffle,True,0.8202478512729352,0.8215311324656417,0.0012832811927064,0.0010257453403512,0.0003825096643863,0.001678592675915,3702,41912,False,within_train_frozen_severity_propensity_time_strata,"Development-only factual logged-action planning-component validation. Action-information deltas are predictive diagnostics, not causal treatment effects. No confirmatory, policy-winner, treatment-benefit, causal, counterfactual, clinical-utility, deployment, or autonomous-decision claim.",KDD097/KDD098R unchanged,,,,
KDD098R,respiratory,grud_world_model,3414,reward_relevant_features,previous_action,True,0.8202478512729352,0.8208496746399617,0.0006018233670265,0.0007230712262948,0.0003224273123546,0.0011303489457974,3702,41912,False,within_train_frozen_severity_propensity_time_strata,"Development-only factual logged-action planning-component validation. Action-information deltas are predictive diagnostics, not causal treatment effects. No confirmatory, policy-winner, treatment-benefit, causal, counterfactual, clinical-utility, deployment, or autonomous-decision claim.",KDD097/KDD098R unchanged,,,,
KDD098R,respiratory,transformer_world_model,3408,reward_relevant_features,lowest_setting_reference_class_not_no_action,False,0.8196602488012367,0.8198972599636531,0.0002370111624164,0.0002373544993091,-0.0004781101575283,0.0010272678651436,3702,41912,False,within_train_frozen_severity_propensity_time_strata,"Development-only factual logged-action planning-component validation. Action-information deltas are predictive diagnostics, not causal treatment effects. No confirmatory, policy-winner, treatment-benefit, causal, counterfactual, clinical-utility, deployment, or autonomous-decision claim.",KDD097/KDD098R unchanged,,,,
KDD098R,respiratory,transformer_world_model,3408,reward_relevant_features,matched_shuffle,True,0.8196602488012367,0.8203267080376458,0.0006664592364091,0.00079824744869,0.0002021136199181,0.0013455863068226,3702,41912,False,within_train_frozen_severity_propensity_time_strata,"Development-only factual logged-action planning-component validation. Action-information deltas are predictive diagnostics, not causal treatment effects. No confirmatory, policy-winner, treatment-benefit, causal, counterfactual, clinical-utility, deployment, or autonomous-decision claim.",KDD097/KDD098R unchanged,,,,
