experiment_id,cohort,method_id,seed,evaluation_mode,horizon_hours,feature_group,rmse,mae,observed_cells,lineage,component_definition
KDD098R,respiratory,persistence_locf,3408,one_step,4,overall,0.8266710568836556,0.5297804098394288,350509,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,hgb_residual,3408,one_step,4,overall,0.711888977552521,0.4795209174870131,350509,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,hgb_residual,3411,one_step,4,overall,0.7116993811085333,0.4795373503067997,350509,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,hgb_residual,3414,one_step,4,overall,0.7121546856874044,0.479702253137823,350509,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,grud_world_model,3408,one_step,4,overall,0.7008867919362638,0.4746866023685137,350509,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,grud_world_model,3411,one_step,4,overall,0.7010397331431463,0.47561424959249354,350509,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,grud_world_model,3414,one_step,4,overall,0.698498664404608,0.4739823449644161,350509,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,transformer_world_model,3408,one_step,4,overall,0.6945881697399433,0.47034216060283845,350509,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,transformer_world_model,3411,one_step,4,overall,0.6955550414528823,0.4704108131198067,350509,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,transformer_world_model,3414,one_step,4,overall,0.6940863135883426,0.4692471304245995,350509,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,dreamer_v3_categorical_rssm,3408,one_step,4,overall,0.7729285986934018,0.512657945445989,350509,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,dreamer_v3_categorical_rssm,3411,one_step,4,overall,0.7721394357608976,0.5112680333577244,350509,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,dreamer_v3_categorical_rssm,3414,one_step,4,overall,0.7742744782279837,0.513543569365187,350509,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,gaussian_transition_ensemble,3408;3411;3414,one_step,4,overall,0.6959484183864965,0.4703875113027671,350509,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,shock,persistence_locf,3408,one_step,4,overall,0.8109697007764569,0.5251114657443363,954762,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,shock,hgb_residual,3408,one_step,4,overall,0.7198055776195641,0.4840982278226503,954762,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,shock,hgb_residual,3411,one_step,4,overall,0.7201603137411222,0.4840322731650397,954762,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,shock,hgb_residual,3414,one_step,4,overall,0.7197491391960072,0.4841917147286247,954762,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,shock,grud_world_model,3408,one_step,4,overall,0.7066828085935725,0.4793135585834674,954762,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,shock,grud_world_model,3411,one_step,4,overall,0.708621522770624,0.48080076232986524,954762,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,shock,grud_world_model,3414,one_step,4,overall,0.7073155074111747,0.4790607161556043,954762,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,shock,transformer_world_model,3408,one_step,4,overall,0.7009191483357129,0.4742088934238212,954762,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,shock,transformer_world_model,3411,one_step,4,overall,0.7026769059034792,0.4758221602836997,954762,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,shock,transformer_world_model,3414,one_step,4,overall,0.7034818070310704,0.47637386981595115,954762,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,shock,dreamer_v3_categorical_rssm,3408,one_step,4,overall,0.7681774513223596,0.5100349063264821,954762,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,shock,dreamer_v3_categorical_rssm,3411,one_step,4,overall,0.7685154588641178,0.5095986315842077,954762,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,shock,dreamer_v3_categorical_rssm,3414,one_step,4,overall,0.7689148293660474,0.5101446986661395,954762,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,shock,gaussian_transition_ensemble,3408;3411;3414,one_step,4,overall,0.7036517936889496,0.4757002390581333,954762,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,aki,persistence_locf,3408,one_step,4,overall,0.7487121529064257,0.4722672640659573,460490,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,aki,hgb_residual,3408,one_step,4,overall,0.6822022158457083,0.4466790030311129,460490,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,aki,hgb_residual,3411,one_step,4,overall,0.6805636090912285,0.44660210727530686,460490,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,aki,hgb_residual,3414,one_step,4,overall,0.6809656839448801,0.4461935671106076,460490,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,aki,grud_world_model,3408,one_step,4,overall,0.675097722459339,0.445306760183292,460490,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,aki,grud_world_model,3411,one_step,4,overall,0.6732793564620861,0.44489685499560255,460490,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,aki,grud_world_model,3414,one_step,4,overall,0.6737548788224498,0.4450295550925172,460490,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,aki,transformer_world_model,3408,one_step,4,overall,0.6689193705042328,0.4409593004483417,460490,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,aki,transformer_world_model,3411,one_step,4,overall,0.670312120979473,0.44139739602468997,460490,KDD097/KDD098R unchanged,P next-state dynamics
