action_usage_marginal,actions_used_probability_gt_1e_4,behavior_divergence_kl,behavior_relative_return,best_epoch,checkpoint_sha256,collapse_flag_top_share_ge_0p95,component_family,converged,entropy,epochs_run,epsilon_smoothing_used,exact_regret,exact_true_return,experiment_id,fidelity_label,fit_role,full_target_probability_available,horizon_definition,inventory_layer,learned_model_predicted_return,method,method_seed_rank_max,method_seed_rank_min,method_seed_return_std,model_exploitation_gap,normalized_entropy,planner_definition,planner_horizon,policy,policy_entropy_normalized,policy_group,probability_source,profile,rank_within_profile,rare_action_class_count,rare_action_policy_mass,rare_train_action_threshold,retrospective_ehr_policy_value_computed,reward_contract,seed,seed_rank_range,selection_role,support_violation,support_violation_mass,task,terminal_reward_attachment,terminal_reward_occurrences_per_trajectory_max,top_action_share,training_examples,truncated_horizon_bootstrap,validation_objective,validation_objective_name,variant,winner_turnover_across_seeds
0.41288497;0.01434227;0.00888743;0.01072648;0.01323920;0.05584363;0.02112119;0.01818244;0.01145778;0.01536174;0.08093614;0.01116377;0.02005170;0.01141892;0.01551079;0.07045730;0.00882499;0.01559650;0.01268588;0.02545130;0.08354252;0.01140312;0.01893517;0.01335038;0.01862439,25,0.0420761400270333,,12.0,63f300d3eef5c1ce111f77107ef7e0803a55ef12a8ae731d366554947ec64cc9,0.0,,0.0,1.6140353328517412,12.0,0.0,,,KDD123-v2,independent_reimplementation,train_only,1.0,not_applicable,model_free_policy,,behavior_cloning,,,,,0.501428268957169,,,,,,native_supported_categorical_softmax,,,2.0,0.017712415846482,0.01,0.0,terminal_90d_only,3408,,validation_only,,0.0,sepsis,once_at_final_valid_transition,,0.4128849660984733,20000.0,,1.6037691831588743,validation_cross_entropy,,
0.54110822;0.00600120;0.00140028;0.00620124;0.01800360;0.01460292;0.01320264;0.04120824;0.00340068;0.02420484;0.11042208;0.00920184;0.00800160;0.00860172;0.01040208;0.01880376;0.00700140;0.01320264;0.00220044;0.00820164;0.05801160;0.01000200;0.00700140;0.03720744;0.02240448,25,1.1425585852965514,,1.0,12290621185df9828b5835488a77382a198a3e6c5f9b36d789ba4f87b9edd420,0.0,,1.0,0.0,4.0,0.0,,,KDD123-v2,independent_reimplementation,train_only,1.0,not_applicable,model_free_policy,,discrete_bcq,,,,,0.0,,,,,,native_deterministic_one_hot_categorical_no_epsilon_smoothing,,,2.0,0.0084016803360672,0.01,0.0,terminal_90d_only,3408,,validation_only,,0.0,sepsis,once_at_final_valid_transition,,0.5411082216443288,20000.0,,0.1263678669929504,terminal90_normalized_discounted_TD_MSE,,
0.88997800;0.00000000;0.00000000;0.00000000;0.00000000;0.00120024;0.00000000;0.00000000;0.00000000;0.00000000;0.07141428;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00080016;0.03660732;0.00000000;0.00000000;0.00000000;0.00000000,5,1.6402763250837094,,1.0,8bd6bc3da6abf977f7aa9b793eed5bc9692e708eea4af0a810d5d423a00a512f,0.0,,1.0,0.0,4.0,0.0,,,KDD123-v2,independent_reimplementation,train_only,1.0,not_applicable,model_free_policy,,discrete_cql,,,,,0.0,,,,,,native_deterministic_one_hot_categorical_no_epsilon_smoothing,,,2.0,0.0,0.01,0.0,terminal_90d_only,3408,,validation_only,,0.0,sepsis,once_at_final_valid_transition,,0.8899779955991198,20000.0,,0.2613512575626373,terminal90_normalized_discounted_TD_MSE,,
0.62132546;0.00717114;0.00444371;0.00536324;0.00661960;0.03842392;0.01056060;0.00909122;0.00572889;0.00768087;0.09007799;0.00558188;0.01002585;0.00570946;0.00775539;0.05043169;0.00441249;0.00779825;0.00634294;0.01272565;0.05157322;0.00570156;0.00946758;0.00667519;0.00931219,25,0.5481687709102734,,1.0,efcc70ac86a065b8d979791e73520b16087fb8a3f5482c8b74b7189a201a857a,0.0,,1.0,1.1417677647739424,4.0,0.0,,,KDD123-v2,conceptual_adapter,train_only,1.0,not_applicable,model_free_policy,,soft_spibb,,,,,0.3547100997040459,,,,,,frozen_behavior_greedy_convex_mixture_native_categorical,,,2.0,0.0088562079172207,0.01,0.0,terminal_90d_only,3408,,validation_only,,0.0,sepsis,once_at_final_valid_transition,,0.6213254599424398,20000.0,,0.2506705224514007,terminal90_normalized_discounted_TD_MSE,,
0.43675318;0.01154534;0.00878335;0.01277535;0.01332765;0.04740794;0.02189060;0.01934702;0.01053071;0.01214878;0.06915710;0.01071804;0.01858865;0.01114948;0.01542665;0.06908515;0.00880055;0.01448904;0.01278034;0.02223452;0.08861654;0.01198914;0.01958854;0.01457616;0.01829015,25,0.0986826720916246,,12.0,075e02d4d80e0702fcd42b6fb1c67411bd7e960a66f9ac59e91e6270d4a6047f,0.0,,0.0,1.5169290547493992,12.0,0.0,,,KDD123-v2,official_contract_adapter,train_only,1.0,not_applicable,model_free_policy,,decision_transformer_adapter,,,,,0.4712605074821459,,,,,,native_return_conditioned_categorical_softmax,,,2.0,0.0175839050716334,0.01,0.0,terminal_90d_only,3408,,validation_only,,0.0,sepsis,once_at_final_valid_transition,,0.4367531834875351,145925.0,,1.5316067934036257,validation_cross_entropy,,
0.43986287;0.01491052;0.00821220;0.01207118;0.01453067;0.05716533;0.02096706;0.01876627;0.01288835;0.01420522;0.07571999;0.01264698;0.02149119;0.01160100;0.01878863;0.06713394;0.00813415;0.01372853;0.01246188;0.02108015;0.06923709;0.01066600;0.01456382;0.01447296;0.01469404,25,0.0343363040251841,,9.0,a69a28b8a288d8c2d707c607c208cdd4a65572900d05ef815a9d551f0a5b01c2,0.0,,1.0,1.5859106589431913,12.0,0.0,,,KDD123-v2,independent_reimplementation,train_only,1.0,not_applicable,model_free_policy,,behavior_cloning,,,,,0.4926908477459293,,,,,,native_supported_categorical_softmax,,,2.0,0.0163463486129411,0.01,0.0,terminal_90d_only,3411,,validation_only,,0.0,sepsis,once_at_final_valid_transition,,0.4398628723020205,20000.0,,1.5922645330429075,validation_cross_entropy,,
0.57951590;0.00720144;0.00020004;0.00460092;0.00680136;0.02300460;0.01100220;0.03040608;0.01060212;0.02260452;0.08101620;0.01060212;0.02040408;0.01520304;0.02960592;0.04820964;0.00780156;0.00860172;0.01900380;0.00740148;0.02660532;0.00220044;0.01300260;0.00260052;0.01180236,25,1.0789064231079015,,1.0,f865f5ebb9f1873601ddaf5266c12f821a34cda70ed256652f5c6545177606b5,0.0,,1.0,0.0,4.0,0.0,,,KDD123-v2,independent_reimplementation,train_only,1.0,not_applicable,model_free_policy,,discrete_bcq,,,,,0.0,,,,,,native_deterministic_one_hot_categorical_no_epsilon_smoothing,,,2.0,0.008001600320064,0.01,0.0,terminal_90d_only,3411,,validation_only,,0.0,sepsis,once_at_final_valid_transition,,0.5795159031806362,20000.0,,0.129509687423706,terminal90_normalized_discounted_TD_MSE,,
0.96959392;0.00000000;0.00000000;0.00000000;0.00000000;0.00200040;0.00000000;0.00000000;0.00000000;0.00000000;0.00100020;0.00000000;0.00000000;0.00000000;0.00000000;0.00040008;0.00000000;0.00000000;0.00000000;0.00000000;0.02700540;0.00000000;0.00000000;0.00000000;0.00000000,5,1.5392000625968498,,1.0,3d8829d4c5a485892f56718acb4f5d55b3c718924532db237404c3de54a013b5,1.0,,1.0,0.0,4.0,0.0,,,KDD123-v2,independent_reimplementation,train_only,1.0,not_applicable,model_free_policy,,discrete_cql,,,,,0.0,,,,,,native_deterministic_one_hot_categorical_no_epsilon_smoothing,,,2.0,0.0,0.01,0.0,terminal_90d_only,3411,,validation_only,,0.0,sepsis,once_at_final_valid_transition,,0.9695939187837568,20000.0,,0.2900229692459106,terminal90_normalized_discounted_TD_MSE,,
0.68122369;0.00745526;0.00410610;0.00603559;0.00726533;0.04318558;0.01048353;0.00938313;0.00644417;0.00710261;0.04336110;0.00632349;0.01074560;0.00580050;0.00939432;0.03806787;0.00406708;0.00686426;0.00623094;0.01304057;0.04612084;0.00533300;0.00728191;0.00723648;0.00744704,25,0.5053876885397872,,1.0,6d86c6314c02f18a8cf7081a88fd4363f33ba10f01105b6ab3899af1278bf627,0.0,,1.0,1.0984656242330213,4.0,0.0,,,KDD123-v2,conceptual_adapter,train_only,1.0,not_applicable,model_free_policy,,soft_spibb,,,,,0.3412575333744037,,,,,,frozen_behavior_greedy_convex_mixture_native_categorical,,,2.0,0.0081731743166772,0.01,0.0,terminal_90d_only,3411,,validation_only,,0.0,sepsis,once_at_final_valid_transition,,0.6812236948548226,20000.0,,0.255919873714447,terminal90_normalized_discounted_TD_MSE,,
0.43339150;0.01211544;0.00955868;0.01139241;0.01338441;0.05548695;0.02356658;0.01908610;0.01140839;0.01438384;0.07138695;0.01014561;0.02023610;0.01136364;0.01691446;0.07087590;0.00846287;0.01414688;0.01255482;0.01911508;0.08419368;0.01000235;0.01738254;0.01465305;0.01479177,25,0.0962640903266301,,11.0,1d9a68e1569e0988df65bb14fe42a31f5d4114e01d3e5d11f3dd33f1d1052702,0.0,,0.0,1.5261428346027337,12.0,0.0,,,KDD123-v2,official_contract_adapter,train_only,1.0,not_applicable,model_free_policy,,decision_transformer_adapter,,,,,0.474122929133255,,,,,,native_return_conditioned_categorical_softmax,,,2.0,0.0180215424000531,0.01,0.0,terminal_90d_only,3411,,validation_only,,0.0,sepsis,once_at_final_valid_transition,,0.4333915009782796,145925.0,,1.5346391201019287,validation_cross_entropy,,
