number_id,value,source_artifact,derivation,source_sha256
primary_cohort_count,5,final_cohort_scale.csv,primary_status != excluded,0f32d182ad21522002e2fe7fbcadf3f96388c1da53c88f865f3e3a55033567eb
primary_subject_total,119635,final_cohort_scale.csv,sum retained subjects,0f32d182ad21522002e2fe7fbcadf3f96388c1da53c88f865f3e3a55033567eb
primary_episode_total,148053,final_cohort_scale.csv,sum retained episodes,0f32d182ad21522002e2fe7fbcadf3f96388c1da53c88f865f3e3a55033567eb
af_subjects_below_gate,9963,final_cohort_scale.csv,AF exclusion receipt,0f32d182ad21522002e2fe7fbcadf3f96388c1da53c88f865f3e3a55033567eb
performance_rows,840,complete_model_performance_by_cohort.csv,all retained cohort-method-seed rows,76f013a1c5575fe5c2b25f65235cb90fa46661178954d654ce9f2dab16a46178
uncertainty_rows,246,complete_uncertainty_by_cohort.csv,all uncertainty rows including unavailable,9e659f4828030ef40c7d19029ba7a26327fae16603ab40c3ed2946326305e6c5
action_information_rows,226,complete_action_information.csv,all retained lineage action-information rows,2271ccf1f35442124f0e98345c877d4284e3b091a2c6301d3cc7d0107e61a791
policy_planner_rows,231,complete_policy_and_planner_inventory.csv,"model-free, controls, planners",c01af6b72c3e0c2da680b2926d54fda52a1ced308dacf50452b80f48cfa43296
retrospective_ope_rows,5457,complete_retrospective_ope_estimates.csv,all estimates and explicit nonexecution cells,166fb3fdfa4cfcab69d8c729714b34b4eae2cb94d5611fde9e6862daa9779580
one_step_vs_recursive44_rank_reversal_rows,26,synthesis_statistics.csv,within-cohort mean-seed rank comparison,7cc6d7846b14347f2cdb5c4241580af534c0e039667cfc3c99775223e676193c
positive_action_information_rows,179,synthesis_statistics.csv,predictive diagnostics only,7cc6d7846b14347f2cdb5c4241580af534c0e039667cfc3c99775223e676193c
ope_status_estimand_not_defined,3,ope_evidence_status.csv,value_counts,637bf7b300426a0f507f4c96f223af1bc8286148bf87f4c3eeea9a932d3f0ec2
ope_status_not_computable_missing_probability,54,ope_evidence_status.csv,value_counts,637bf7b300426a0f507f4c96f223af1bc8286148bf87f4c3eeea9a932d3f0ec2
ope_status_reported_estimator_disagreement,27,ope_evidence_status.csv,value_counts,637bf7b300426a0f507f4c96f223af1bc8286148bf87f4c3eeea9a932d3f0ec2
ope_status_reported_support_fragile,4347,ope_evidence_status.csv,value_counts,637bf7b300426a0f507f4c96f223af1bc8286148bf87f4c3eeea9a932d3f0ec2
ope_status_reported_supported,1026,ope_evidence_status.csv,value_counts,637bf7b300426a0f507f4c96f223af1bc8286148bf87f4c3eeea9a932d3f0ec2
