task,role,metric,expected,observed,status
sepsis,all_roles,subjects,21072,21072,pass
sepsis,all_roles,episodes,25304,25304,pass
sepsis,all_roles,decisions,202025,202025,pass
sepsis,all_roles,action_count,25,25,pass
sepsis,all_roles,maximum_horizon,11,11,pass
respiratory_support,all_roles,subjects,20604,20604,pass
respiratory_support,all_roles,episodes,23928,23928,pass
respiratory_support,all_roles,decisions,139185,139185,pass
respiratory_support,all_roles,action_count,25,25,pass
respiratory_support,all_roles,maximum_horizon,10,10,pass
shock,all_roles,subjects,43564,43564,pass
shock,all_roles,episodes,58240,58240,pass
shock,all_roles,decisions,455242,455242,pass
shock,all_roles,action_count,25,25,pass
shock,all_roles,maximum_horizon,11,11,pass
aki,all_roles,subjects,19403,19403,pass
aki,all_roles,episodes,25037,25037,pass
aki,all_roles,decisions,214356,214356,pass
aki,all_roles,action_count,4,4,pass
aki,all_roles,maximum_horizon,11,11,pass
heart_failure,all_roles,subjects,25826,25826,pass
heart_failure,all_roles,episodes,29665,29665,pass
heart_failure,all_roles,decisions,233986,233986,pass
heart_failure,all_roles,action_count,2,2,pass
heart_failure,all_roles,maximum_horizon,10,10,pass
sepsis,train,subjects,14644,14644,pass
sepsis,train,episodes,17561,17561,pass
sepsis,train,decisions,140237,140237,pass
sepsis,validation,subjects,3239,3239,pass
sepsis,validation,episodes,3863,3863,pass
sepsis,validation,decisions,30864,30864,pass
sepsis,historical_other,subjects,3189,3189,pass
sepsis,historical_other,episodes,3880,3880,pass
sepsis,historical_other,decisions,30924,30924,pass
respiratory_support,train,subjects,14524,14524,pass
respiratory_support,train,episodes,16845,16845,pass
respiratory_support,train,decisions,97928,97928,pass
respiratory_support,validation,subjects,2988,2988,pass
respiratory_support,validation,episodes,3475,3475,pass
respiratory_support,validation,decisions,20231,20231,pass
respiratory_support,historical_other,subjects,3092,3092,pass
respiratory_support,historical_other,episodes,3608,3608,pass
respiratory_support,historical_other,decisions,21026,21026,pass
shock,train,subjects,30523,30523,pass
shock,train,episodes,40802,40802,pass
shock,train,decisions,319165,319165,pass
shock,validation,subjects,6488,6488,pass
shock,validation,episodes,8688,8688,pass
shock,validation,decisions,67859,67859,pass
shock,historical_other,subjects,6553,6553,pass
shock,historical_other,episodes,8750,8750,pass
shock,historical_other,decisions,68218,68218,pass
aki,train,subjects,13580,13580,pass
aki,train,episodes,17549,17549,pass
aki,train,decisions,150529,150529,pass
aki,validation,subjects,2917,2917,pass
aki,validation,episodes,3702,3702,pass
aki,validation,decisions,31660,31660,pass
aki,historical_other,subjects,2906,2906,pass
aki,historical_other,episodes,3786,3786,pass
aki,historical_other,decisions,32167,32167,pass
heart_failure,train,subjects,17951,17951,pass
heart_failure,train,episodes,20612,20612,pass
heart_failure,train,decisions,162656,162656,pass
heart_failure,validation,subjects,3965,3965,pass
heart_failure,validation,episodes,4559,4559,pass
heart_failure,validation,decisions,35909,35909,pass
heart_failure,historical_other,subjects,3910,3910,pass
heart_failure,historical_other,episodes,4494,4494,pass
heart_failure,historical_other,decisions,35421,35421,pass
