source,identity_type,identity,decision_or_role,status
ehrdyn-icu predecessor,git_commit,3c9220a73fee7fa53e7755782d83a9a31e59c000,v2.0.4,pass
ResearchWiki pre-revision remote,git_commit,1dd22d37893b7e6a746f4b65bb0856e8700ecc40,last verified before severity removal,superseded_pending_revision
ResearchWiki observed remote main,git_commit,d4f0067b18652b4957a448495efb16d33b971e79,contains observed-history severity rule,rejected_not_final_authority
ResearchWiki observed remote manuscript,file_sha256,802b34310edfb08eadb05fe643ada759c42b4feeaffe6d449f23ccdeebdf75e7,d4f0067 remote main,rejected_not_final_authority
ResearchWiki observed remote appendix,file_sha256,ce24bbec3822274c8f640f2f0e4bef72e254195516690bb98218b82c791cfb48,d4f0067 remote main,rejected_not_final_authority
ResearchWiki observed remote PDF,file_sha256,75ef02c47c4e142a01fed094108afdf9d7556f7336dcac1b0f46b36a21acac42,d4f0067 remote main,rejected_not_final_authority
ResearchWiki KDD267 final authority,git_commit,f6b449e1a8fd906bf7ca8b68bafec2ea9ca1a0e6,complete_21_policy_no_severity_paper_and_aggregate_identity_frozen,pass
ResearchWiki KDD267 manuscript,file_sha256,9fc5ba92fd78be0162369bb38dac4af2909aec6dc7b757b85cdcf0468be7b69e,f6b449e remote authority,pass
ResearchWiki KDD267 appendix,file_sha256,b27f4d56911e0091564c6745d8902c9b6e5ab292a2582f47f26d9fc59a29c550,f6b449e remote authority,pass
ResearchWiki KDD267 PDF,file_sha256,76142e322f9a4fd3c40f9abfdc8116fbf772a544f768ec75b64f9752cd9d6532,f6b449e remote authority,pass
ResearchWiki KDD267 controlled OPE aggregate identity,file_sha256,b4a0cabc09e7a27cdf9f2b549dfe7ab3483f37cf8d1798a057962f4a00c18647,21 policies x 6 estimators x 64 datasets x 40 environments with severity excluded,pass
ResearchWiki KDD267 controlled OPE estimator summary,file_sha256,d6258b4c6ee84847266e1f7a554ef3c58e9a5bfc2f8e3d04072da540acb88d62,f6b449e remote authority,pass
ResearchWiki KDD267 controlled OPE policy cells,file_sha256,5fabd6ea3a82ecfe717193a273ceb957b56b5f54ee01c7aeb6aa9c967acd951d,f6b449e remote authority,pass
ResearchWiki KDD264 figure audit,file_sha256,41e13e2e240267cdb726206727c9d5455c2826ef611356a0d45508c8be704d4b,complete_kdd264_source_hashed_figure_sync,pass_pre_revision
KDD264 candidate adapter source,file_sha256,9df9363764cb47b1d49de87fe9c403baa567430f240565be9a3138d4c5c2739d,exact source copy,pass
controlled predecessor source,git_commit,8a1913f480d8c686db436f90c16df7fa7f13eb3a,KDD161 KDD164 KDD166 KDD171 KDD190 KDD198 KDD199 and KDD264 source authority,pass
KDD161 model-free source,file_sha256,2fcfb6cbe830a8784207fa1ed8db842b104ac4b4e764f159fe7a5badcd165852,exact source copy,pass
KDD161 model-free artifact,file_sha256,2fcfb6cbe830a8784207fa1ed8db842b104ac4b4e764f159fe7a5badcd165852,exact six-adapter execution path,pass
KDD164 transition-model source,file_sha256,f0b48ec896c952f1ef09217ab55d77c2afe51886224bf4fb4047ac2d14a44052,package import boundary patch,pass
KDD164 transition-model artifact,file_sha256,74f6d7e3d8969bc634422afd8ff6a7842cc6df9b615ea9545ad7d0a90f2258b8,exact five fitted transition paths,pass
KDD166 controlled helper source,file_sha256,cb1189d2a8d2ba180e9a3b91d08737fb93e11502547c242ae97400a19dd7ccf8,exact source copy,pass
KDD166 controlled helper artifact,file_sha256,cb1189d2a8d2ba180e9a3b91d08737fb93e11502547c242ae97400a19dd7ccf8,HGB and policy adapter execution path,pass
KDD171 sequence-scoring source,file_sha256,3eadee4556f5d5923594b8ae139bd54a9cd46cc00ad6565696d9df634dc58b14,selected exact primitives,pass
KDD171 sequence-scoring artifact,file_sha256,8190eef879c1d02c9d62f01862ea0be2ae1fde5463d514e0b1fd100034450323,package-bound selected primitives,pass
KDD190 common-H4 planner source,file_sha256,f019aa6d4bdf71cd0340d037fe022d8a8eeccf5d5d61a1f69e5b2cde458a3d62,exact planner path,pass
KDD190 common-H4 planner artifact,file_sha256,f9b8cd1d335ee9f27c0b89addb455a7ac97eea53afe6f94cf6b363618210b8a9,package import boundary patch,pass
KDD198 environment source,file_sha256,257b540db70e83bd521ad3111ce0f9ba992228672be267e7456b22063f6814bf,exact environment contract,pass
KDD198 environment artifact,file_sha256,d33ded90f76051265005c67e6eeaa526299a29594b3e4d05440546129fa8429a,package import boundary patch,pass
KDD199 repaired evaluator source,file_sha256,6132f697c8ea784b92728d2b53a3392ea4839da16b866a68587874b2dfb9b0fc,exact direct-return path,pass
KDD199 repaired evaluator artifact,file_sha256,fd5f1c8f82c662d09f38c4de724263c11064e400c01ed2334d9f569986cf12b4,package import boundary patch,pass
KDD264A qualification result,tree_sha256,f26b4cd7eb84feefb156f969a02264b684fd6b465bd883b28e11997e7a196229,complete_kdd264a_technical_qualification_no_performance_selection,pass
KDD264B fitted merged result,tree_sha256,b32d8dd263a5c4cbf2a2a7c77616c52dd2a4c36cff72010e33e25d93dca50e8f,complete_kdd264b_fitted_candidate_matched_primary_ope,pass
KDD264C controlled merged result,tree_sha256,1cdc8313376a115671e788da6a9812fd2602af008780e32573a0e2f7efc2aec3,complete_kdd264c_controlled_matched_figure_primary,pass
KDD264D controlled OPE merged result,tree_sha256,8a40486c9fae1ebc62292a0994e832fbd872da40c63f1f4b19887c2b2d971b82,source component bound by the ResearchWiki KDD267 21-policy reaggregate,pass
