source,identity_type,identity,role,status
ehrdyn submission base,git_commit,b81491d89e9ffb5495cd66b5634312e00d11a82f,implementation base,pass
kdd2027-submission-r1,annotated_tag_object,ede2b82a97cc5f0b25c50023d5dc918c87575c67,immutable predecessor tag,pass
kdd2027-submission-r1,tag_target_commit,b81491d89e9ffb5495cd66b5634312e00d11a82f,immutable predecessor target,pass
v2.1.0,annotated_tag_object,74ee1d935bb5e5fc8712777a92cf94d9b4af12a8,prior version tag,pass
v2.1.0,tag_target_commit,46453fbd9c9f113e3e3170a71e8688d0993d9521,prior version target,pass
controlled manifest,file_sha256,0b452d491f2124b6c95853f03c83fbff5114416a0e7c70be9b8923f651d92f10,installed default authority,pass
component scorer example,file_sha256,c944bc873f65e27f283a7b68e620ed940adab5139c9d8a4dfab78e754156862c,installed default authority,pass
five-task paper manifest,file_sha256,012cc898c54b4b351e11aa0e8c48a450ed2079d8f63cf3b9ed682924c7f8f1f9,installed reader identity,pass
world-model example runtime,file_sha256,f77dd6b9f7722331546325158d85fc28a996c2824e1ecf66252e6786ae6dada2,installed demonstration runtime,pass
world-model point declaration,file_sha256,8847ef85988bf665c6a89bbeeecef0b60da76e1a8ccc94ef6c83fac88b3ad832,installed demonstration entrant,pass
world-model Gaussian declaration,file_sha256,191f4f34770f5a2c82705977b7f1824a81ad78fa249c42dd5f880b12cbfcd19a,installed demonstration entrant,pass
world-model ensemble declaration,file_sha256,2cfafa9e656fb7e51936afa5e890cad110ed1463015b0e38086fff52a9270c3b,installed demonstration entrant,pass
v2.1.1 implementation candidate,git_commit,e079a471122ce037cbc7b9ba594c193a384e8abc,packaging and attribution repairs,pass
ResearchWiki paper,git_commit,e05c94e696d3af0e6e4f1e3db72bbcbb1cdcee4c,publication binding authority,pass
ResearchWiki manuscript,file_sha256,3687d1d70d899ed22dd5847a274b8f08ebbffe24e40ff1bb8f8f1bac690ae5af,authoritative paper source,pass
ResearchWiki appendix,file_sha256,ed9d27a85888c88c9afb3a49809e6a55744e2ca260b1227c461c626e2c8256b8,authoritative appendix source,pass
ResearchWiki PDF,file_sha256,5ed66459c82a9ed72bf156512053eca908c377c0a21db8818b7e83513e4b89dd,authoritative submitted manuscript,pass
